Date,Close
4/2/2018 16:00:00,1012.63
4/3/2018 16:00:00,1018.68
4/4/2018 16:00:00,1029.71
4/5/2018 16:00:00,1032.64
4/6/2018 16:00:00,1009.95
4/9/2018 16:00:00,1020.09
4/10/2018 16:00:00,1036.5
4/11/2018 16:00:00,1025.06
4/12/2018 16:00:00,1037.29
4/13/2018 16:00:00,1036.04
4/16/2018 16:00:00,1046.1
4/17/2018 16:00:00,1079.36
4/18/2018 16:00:00,1075.39
4/19/2018 16:00:00,1089.45
4/20/2018 16:00:00,1077.32
4/23/2018 16:00:00,1073.81
4/24/2018 16:00:00,1022.64
4/25/2018 16:00:00,1022.99
4/26/2018 16:00:00,1043.31
4/27/2018 16:00:00,1031.45
4/30/2018 16:00:00,1018.58
5/1/2018 16:00:00,1040.75
5/2/2018 16:00:00,1026.05
5/3/2018 16:00:00,1026.3
5/4/2018 16:00:00,1051
5/7/2018 16:00:00,1059.46
5/8/2018 16:00:00,1058.59
5/9/2018 16:00:00,1088.95
5/10/2018 16:00:00,1105.47
5/11/2018 16:00:00,1103.38
5/14/2018 16:00:00,1106.6
5/15/2018 16:00:00,1084.87
5/16/2018 16:00:00,1084.09
5/17/2018 16:00:00,1081.26
5/18/2018 16:00:00,1069.64
5/21/2018 16:00:00,1084.01
5/22/2018 16:00:00,1075.31
5/23/2018 16:00:00,1085.96
5/24/2018 16:00:00,1085.45
5/25/2018 16:00:00,1084.08
5/29/2018 16:00:00,1068.07
5/30/2018 16:00:00,1077.47
5/31/2018 16:00:00,1100
6/1/2018 16:00:00,1135
6/4/2018 16:00:00,1153.04
6/5/2018 16:00:00,1151.02
6/6/2018 16:00:00,1146.95
6/7/2018 16:00:00,1134.42
6/8/2018 16:00:00,1132.71
6/11/2018 16:00:00,1140.9
6/12/2018 16:00:00,1148.19
6/13/2018 16:00:00,1144.23
6/14/2018 16:00:00,1160.11
6/15/2018 16:00:00,1159.27
6/18/2018 16:00:00,1183.58
6/19/2018 16:00:00,1178.69
6/20/2018 16:00:00,1184.07
6/21/2018 16:00:00,1169.44
6/22/2018 16:00:00,1169.29
6/25/2018 16:00:00,1139.28
6/26/2018 16:00:00,1132.62
6/27/2018 16:00:00,1116.94
6/28/2018 16:00:00,1126.78
6/29/2018 16:00:00,1129.19
7/2/2018 16:00:00,1142.11
7/3/2018 13:00:00,1116.28
